N,P,K,temperature,humidity,ph,rainfall,previous_crop,farm_size_hectares,current_crop
77.31,52.34,26.63,18.78,66.76,6.52,20.4,Rice,0.26,Wheat
29.39,31.4,88.2,11.2,48.85,7.49,37.47,Maize,0.75,Chickpea
92.97,59.95,38.13,30.63,61.73,6.65,228.95,Wheat,0.36,Maize
83.24,49.85,26.65,31.93,78.51,7.22,255.33,Wheat,0.83,Maize
84.9,42.45,29.83,16.88,77.52,6.47,11.65,Rice,0.53,Wheat
79.62,55.55,20.13,31.68,69.77,6.04,219.85,Rice,0.82,Maize
91.72,41.25,31.13,32.92,70.12,7.33,227.65,Rice,0.99,Maize
75.17,45.67,34.92,17.15,79.32,6.33,46.79,Rice,0.99,Wheat
38.77,35.93,31.94,15.28,52.63,6.33,46.77,Wheat,0.28,Mustard
22.99,64.84,15.89,28.3,63.35,6.4,61.45,Wheat,0.19,PigeonPeas
62.2,38.24,47.76,32.94,86.49,6.59,263.63,Fallow,0.15,Rice
108.26,46.74,23.13,19.62,68.18,6.35,14.07,PigeonPeas,0.99,Wheat
82.38,58.14,41.78,33.66,71.18,6.15,251.39,Wheat,1.78,Rice
33.24,37.88,31.29,12.98,68.37,6.74,39.36,Maize,0.79,Mustard
30.56,68.77,21.84,26.12,61.04,5.57,99.82,Wheat,0.31,PigeonPeas
82.74,49.44,44.13,31.04,77.33,7.36,277.72,Rice,0.75,Sugarcane
89.91,46.51,55.95,32.45,81.5,6.44,250.26,Wheat,0.64,Rice
93.23,56.63,23.32,29.16,67.15,6.76,286.72,Wheat,0.34,Maize
27.03,48.36,84.66,18.52,46.97,7.1,11.26,Millet,0.8,Chickpea
83.98,49.95,38.31,17.8,63.95,6.19,38.61,Rice,0.9,Wheat
25.13,75.68,18.85,29.35,50.81,5.8,54.75,Rice,0.79,MungBean
21.76,36.17,32.8,19.24,61.73,6.45,36.58,Wheat,0.22,Mustard
70.01,46.48,59.99,29.19,89.49,7.36,200.18,Rice,1.48,Sugarcane
21.68,67.6,17.7,28.92,64.72,5.68,91.21,Wheat,0.89,PigeonPeas
39.67,76.8,17.77,26.13,60.09,5.51,77.99,Wheat,0.32,MungBean
81.86,43.18,33.25,19.0,71.96,6.89,34.0,Rice,0.89,Wheat
38.23,31.65,27.44,15.01,60.66,6.27,49.56,Wheat,0.63,Mustard
80.37,57.85,27.72,28.79,75.45,6.03,272.49,Wheat,1.02,Maize
75.8,53.06,27.88,32.65,69.22,7.16,239.71,Wheat,0.22,Maize
78.4,56.75,58.77,28.55,86.8,6.34,275.05,Wheat,0.23,Sugarcane
21.69,37.09,83.39,18.17,55.97,7.8,40.42,Millet,0.56,Chickpea
76.56,49.0,50.39,31.02,81.83,5.69,257.51,Maize,0.69,Rice
37.14,67.97,15.08,27.2,62.83,5.63,53.17,Rice,0.48,PigeonPeas
21.34,30.59,80.25,10.42,44.57,7.68,36.39,Maize,0.79,Chickpea
29.42,39.97,27.53,11.41,56.57,6.63,37.48,Wheat,0.97,Mustard
76.49,56.06,56.66,30.78,87.33,6.04,296.0,Wheat,1.02,Rice
82.24,58.75,42.35,28.23,70.78,7.9,291.76,Wheat,0.87,Sugarcane
38.74,76.19,17.15,25.56,64.7,6.11,76.65,Rice,0.69,MungBean
38.97,68.69,24.79,29.75,64.69,5.61,93.65,Rice,0.16,MungBean
35.01,63.82,20.61,28.06,60.98,6.35,71.49,Rice,0.5,PigeonPeas
27.74,71.01,23.71,27.85,52.86,5.54,95.49,Rice,0.62,MungBean
91.97,64.21,30.87,15.43,77.44,6.37,20.23,PigeonPeas,0.17,Wheat
22.05,42.36,89.67,19.13,49.49,7.76,41.47,Maize,0.99,Chickpea
35.58,20.42,27.23,12.47,52.44,6.47,48.06,Wheat,0.47,Mustard
71.64,44.89,52.58,32.48,73.06,6.31,214.97,Maize,0.58,Rice
82.5,49.24,49.14,30.32,80.2,6.1,208.39,Maize,0.42,Rice
32.76,67.86,24.37,27.51,67.85,5.77,52.26,Rice,0.43,MungBean
87.24,41.4,57.26,31.14,77.7,6.72,247.81,Maize,0.71,Rice
86.39,49.94,49.27,34.02,70.74,7.27,289.71,Wheat,0.45,Sugarcane
70.62,47.74,42.61,30.5,78.22,7.0,284.84,Rice,1.85,Sugarcane
22.64,32.92,71.4,14.39,50.5,7.99,18.21,Maize,0.6,Chickpea
71.17,57.01,58.17,31.23,88.98,6.51,252.69,Wheat,0.99,Rice
61.67,53.37,52.66,33.81,81.02,5.7,240.13,Fallow,1.55,Rice
87.08,48.3,58.7,31.58,89.72,6.57,200.65,Wheat,0.51,Sugarcane
26.34,46.0,87.54,13.11,48.39,7.5,13.39,Maize,0.59,Chickpea
78.82,51.31,31.48,31.66,69.34,6.31,277.63,Rice,0.82,Maize
84.23,58.63,59.89,29.89,89.07,6.85,259.98,Rice,0.6,Sugarcane
32.34,65.86,19.68,27.98,50.98,5.52,79.42,Rice,0.89,PigeonPeas
23.67,72.26,22.34,27.55,65.68,5.88,64.86,Rice,0.37,PigeonPeas
66.17,41.42,41.66,33.53,82.96,6.56,284.83,Fallow,0.52,Rice
27.2,31.65,32.44,10.31,62.62,6.89,40.56,Maize,0.74,Mustard
85.74,52.78,23.39,29.19,69.47,6.71,212.0,Rice,0.98,Maize
38.61,32.45,24.52,17.82,51.05,6.01,19.48,Maize,0.5,Mustard
78.77,55.98,39.6,33.96,72.65,6.12,235.25,Wheat,0.1,Maize
26.89,72.99,18.07,27.39,58.86,6.06,93.87,Wheat,0.15,MungBean
85.33,59.7,59.26,28.37,71.41,6.7,250.94,Wheat,0.47,Sugarcane
79.13,49.38,44.26,31.63,88.8,7.22,282.2,Rice,0.86,Sugarcane
32.83,69.52,23.63,26.28,53.29,6.12,86.98,Rice,0.13,PigeonPeas
20.63,21.4,23.27,16.76,69.72,6.28,30.66,Wheat,0.52,Mustard
85.63,46.51,24.95,15.76,78.35,7.49,32.81,Rice,0.77,Wheat
85.82,57.99,41.05,29.44,70.21,6.05,274.04,Wheat,0.62,Rice
79.19,42.3,59.05,33.76,88.01,6.19,246.6,Rice,0.22,Sugarcane
95.79,54.49,34.85,10.56,70.09,6.82,30.8,MungBean,0.7,Wheat
87.88,42.45,24.09,32.12,74.65,7.47,233.61,Rice,0.18,Maize
92.2,45.57,28.36,11.46,60.79,6.57,20.96,Rice,11.57,Wheat
93.51,52.0,20.15,19.41,63.29,6.29,17.25,Rice,0.56,Wheat
16.76,34.28,76.5,19.98,53.27,7.03,37.4,Maize,0.69,Chickpea
71.66,46.15,49.52,28.49,81.72,6.4,223.64,Maize,0.65,Rice
89.97,47.16,33.49,30.0,71.03,7.4,254.75,Wheat,0.51,Maize
78.73,59.46,49.01,30.31,70.21,6.0,221.19,Wheat,0.7,Rice
39.32,77.6,22.16,28.23,68.01,6.42,66.66,Wheat,0.53,MungBean
27.53,64.11,23.72,28.32,62.26,6.46,89.2,Wheat,0.54,PigeonPeas
78.43,50.25,40.04,33.57,77.46,6.98,237.38,Fallow,0.36,Rice
31.1,69.83,19.33,25.59,66.73,6.12,93.05,Rice,0.58,PigeonPeas
94.3,42.85,25.2,31.2,61.34,6.1,279.33,Wheat,0.7,Maize
87.57,50.54,39.19,30.99,62.37,6.67,274.71,Wheat,0.83,Maize
69.28,43.43,49.98,34.23,82.71,5.83,258.89,Fallow,5.95,Rice
84.77,50.67,55.48,34.1,70.83,6.1,291.97,Wheat,0.49,Sugarcane
21.17,37.44,33.97,13.21,51.69,6.27,13.16,Wheat,9.59,Mustard
23.21,30.54,87.69,16.65,57.01,7.65,48.06,Maize,0.8,Chickpea
83.3,48.01,46.78,30.05,82.67,6.82,288.52,Maize,0.21,Rice
34.14,28.91,39.11,10.19,59.25,6.99,21.41,Maize,0.36,Mustard
77.03,48.67,57.78,30.03,76.26,6.26,263.83,Wheat,0.8,Sugarcane
34.51,67.09,15.7,28.49,62.91,5.67,84.74,Wheat,0.82,PigeonPeas
66.93,53.04,45.99,33.63,80.81,5.81,281.77,Fallow,0.46,Rice
35.5,76.03,19.58,26.59,55.87,5.52,56.02,Rice,0.83,MungBean
31.5,24.16,24.25,13.27,60.86,6.72,40.97,Maize,0.51,Mustard
75.2,55.56,38.47,19.56,73.02,7.4,11.18,Rice,0.51,Wheat
33.83,78.75,24.0,26.08,54.68,5.64,58.78,Wheat,1.12,PigeonPeas
23.2,45.54,70.79,10.78,52.71,7.02,22.16,Maize,1.67,Chickpea
78.88,49.8,45.96,31.35,70.05,5.55,248.67,Fallow,0.45,Rice
32.57,25.75,21.56,10.97,51.27,6.44,29.68,Maize,1.6,Mustard
87.18,59.94,44.83,29.77,85.77,6.23,259.26,Maize,0.16,Rice
27.54,31.35,33.33,12.12,65.72,6.35,28.81,Maize,0.68,Mustard
38.1,21.3,35.35,16.37,61.07,6.49,16.35,Maize,1.07,Mustard
28.31,28.13,35.51,16.92,67.04,6.05,20.65,Maize,1.78,Mustard
78.41,44.4,42.39,28.14,75.0,6.9,283.27,Rice,1.74,Sugarcane
39.31,23.25,26.31,18.2,54.23,6.09,49.56,Maize,0.54,Mustard
78.1,46.82,37.25,30.5,63.95,7.09,248.19,Rice,9.45,Maize
35.36,60.48,18.14,28.42,66.52,5.73,50.98,Rice,5.93,PigeonPeas
89.27,51.18,44.38,29.78,79.6,7.93,216.2,Wheat,0.19,Sugarcane
24.22,29.57,32.85,11.73,62.36,6.09,38.51,Maize,0.18,Mustard
92.05,57.78,27.71,32.49,75.72,6.18,287.07,Rice,0.85,Maize
32.44,35.77,37.17,15.3,65.93,6.67,49.5,Maize,0.64,Mustard
91.47,44.87,34.67,30.75,71.43,6.79,225.54,Wheat,0.66,Maize
76.09,48.87,21.81,30.06,70.38,6.03,259.89,Wheat,0.83,Maize
76.45,57.18,41.08,30.14,76.1,6.92,208.55,Wheat,0.97,Rice
94.04,47.93,34.71,11.47,79.11,7.16,24.4,Rice,0.73,Wheat
70.5,57.69,44.88,28.78,74.45,6.96,214.58,Wheat,7.81,Rice
92.83,45.59,39.59,34.53,75.15,6.47,225.98,Rice,0.25,Maize
81.27,45.27,28.88,14.63,64.27,7.37,45.7,Rice,0.87,Wheat
34.56,24.02,32.05,12.48,57.2,6.02,22.91,Maize,0.41,Mustard
72.11,46.17,49.1,34.24,79.22,5.84,249.71,Wheat,1.36,Rice
75.42,56.59,28.53,11.13,66.71,6.48,28.74,Rice,0.52,Wheat
25.02,24.94,32.11,16.01,59.81,6.09,30.67,Maize,0.89,Mustard
33.18,32.24,38.65,19.02,58.83,6.6,37.04,Maize,0.14,Mustard
78.26,49.6,55.3,28.18,88.5,5.98,297.85,Maize,0.54,Rice
81.48,57.6,23.23,30.53,63.13,6.79,227.34,Rice,0.91,Maize
78.36,40.16,21.81,33.99,77.31,7.44,240.86,Wheat,0.22,Maize
83.19,52.32,23.64,10.43,74.64,6.19,49.72,Rice,0.61,Wheat
28.45,33.18,77.72,13.77,53.45,7.49,26.35,Millet,0.16,Chickpea
25.17,25.72,20.87,19.3,62.4,6.55,11.49,Maize,0.32,Mustard
18.99,40.65,85.75,18.34,55.8,7.86,29.67,Maize,0.34,Chickpea
20.66,49.25,85.0,10.22,58.75,7.89,42.67,Maize,0.44,Chickpea
93.44,54.81,34.55,32.02,69.66,7.5,241.31,Wheat,0.58,Maize
83.8,55.01,50.49,34.04,81.36,7.79,221.58,Rice,0.83,Sugarcane
21.33,75.25,18.92,28.38,55.72,6.31,62.6,Rice,0.22,MungBean
79.3,42.25,20.12,30.93,60.97,7.1,268.58,Wheat,1.94,Maize
21.18,69.4,19.37,27.8,52.41,6.49,92.97,Rice,0.4,PigeonPeas
81.15,41.57,49.23,30.53,71.36,5.9,200.02,Wheat,0.46,Rice
26.87,31.25,80.64,12.03,54.65,7.99,22.56,Maize,0.48,Chickpea
87.23,57.41,29.83,13.88,65.39,6.89,36.61,Rice,0.12,Wheat
30.76,60.13,15.46,26.14,65.17,6.25,81.64,Wheat,0.93,PigeonPeas
28.14,70.79,22.89,29.48,52.09,5.92,53.01,Wheat,0.5,PigeonPeas
82.12,40.84,53.04,32.52,74.2,6.34,208.54,Wheat,0.4,Sugarcane
35.74,20.34,20.18,16.33,50.9,6.44,15.1,Wheat,1.84,Mustard
21.06,39.81,33.59,10.91,56.04,6.01,43.91,Maize,0.67,Mustard
76.95,50.97,55.85,33.75,82.92,6.56,258.16,Rice,0.89,Sugarcane
78.31,52.72,30.22,29.68,64.99,7.47,270.99,Rice,0.2,Maize
32.2,64.49,16.97,26.36,59.98,5.69,78.2,Wheat,0.73,PigeonPeas
108.85,55.85,23.49,18.2,72.81,7.07,12.01,MungBean,0.31,Wheat
94.49,45.93,35.2,15.02,63.47,7.26,15.88,Rice,0.15,Wheat
77.87,53.21,49.36,30.86,73.87,5.61,243.5,Fallow,0.53,Rice
93.32,52.32,33.13,34.21,74.29,7.13,279.36,Wheat,0.54,Maize
19.89,43.27,82.88,18.91,43.07,7.84,17.21,Millet,0.28,Chickpea
29.92,31.63,33.96,16.77,58.32,6.77,39.64,Wheat,0.44,Mustard
78.69,54.01,24.22,33.65,74.22,6.21,230.41,Wheat,0.53,Maize
36.99,69.15,20.23,29.49,51.62,5.62,60.81,Wheat,0.71,MungBean
32.83,72.63,17.85,28.2,58.53,5.6,78.06,Wheat,0.56,MungBean
91.04,53.86,27.72,32.31,66.4,7.33,218.31,Rice,1.9,Maize
76.37,49.22,37.35,33.15,61.11,6.07,232.15,Wheat,0.99,Maize
79.21,55.99,53.41,28.0,70.54,6.6,214.74,Rice,0.37,Sugarcane
97.78,64.41,20.03,17.65,77.32,6.74,17.62,MungBean,0.81,Wheat
94.58,56.42,36.91,13.64,67.84,7.25,44.71,Rice,8.02,Wheat
78.68,46.42,29.02,31.49,62.81,6.01,251.46,Rice,0.85,Maize
24.38,44.04,72.42,13.93,44.19,7.92,26.49,Maize,0.85,Chickpea
79.66,52.31,52.7,33.21,75.65,7.52,208.56,Wheat,0.3,Sugarcane
88.77,54.84,27.03,28.99,64.34,6.61,210.95,Rice,0.55,Maize
72.15,51.58,56.66,34.99,79.64,7.8,290.85,Rice,0.52,Sugarcane
77.05,45.45,22.04,12.56,75.51,6.18,15.34,Rice,0.99,Wheat
28.02,66.77,22.26,28.04,52.6,5.85,72.96,Wheat,0.49,PigeonPeas
94.16,44.31,37.25,31.41,77.81,6.1,286.35,Rice,0.61,Maize
109.49,56.55,31.03,10.6,70.41,6.9,33.17,MungBean,0.35,Wheat
87.82,46.72,26.17,18.58,69.66,6.88,11.84,Rice,0.59,Wheat
31.68,71.25,16.38,29.04,61.92,6.4,67.28,Rice,0.83,MungBean
88.19,56.18,29.0,33.89,74.89,7.35,261.76,Rice,0.44,Maize
83.64,47.88,30.61,31.94,71.8,7.49,276.32,Wheat,0.83,Maize
20.03,48.78,89.81,19.7,42.81,7.35,13.43,Maize,1.63,Chickpea
93.66,45.74,37.82,32.64,79.61,6.41,281.58,Wheat,0.39,Maize
85.57,57.93,48.7,33.47,81.04,7.4,254.07,Wheat,0.59,Sugarcane
91.83,40.5,32.73,34.5,72.32,6.27,223.41,Wheat,0.26,Maize
92.29,40.77,35.9,19.86,70.07,7.19,24.09,Rice,0.81,Wheat
20.43,45.73,88.69,12.17,50.72,7.13,48.33,Millet,0.63,Chickpea
80.41,55.31,38.64,29.73,60.57,6.18,239.31,Wheat,0.27,Maize
75.75,41.53,52.9,31.97,73.53,6.14,228.32,Wheat,0.4,Sugarcane
97.57,55.07,29.75,11.57,74.91,7.15,31.16,MungBean,17.18,Wheat
73.64,47.92,51.17,28.47,76.74,6.4,262.76,Wheat,8.58,Sugarcane
21.92,45.12,72.99,14.94,57.21,7.24,16.04,Millet,0.4,Chickpea
77.4,49.82,26.71,13.77,64.04,6.45,38.28,Rice,0.81,Wheat
93.28,41.03,26.81,14.47,63.27,6.84,46.86,Rice,0.58,Wheat
80.43,57.45,29.2,14.89,65.72,6.13,49.83,Maize,0.42,Wheat
90.05,54.38,34.12,32.05,67.83,7.09,239.82,Rice,11.25,Maize
16.81,34.69,78.27,10.13,42.76,7.57,25.05,Millet,7.24,Chickpea
70.78,57.77,57.83,32.54,87.25,6.78,224.13,Rice,0.42,Sugarcane
33.15,22.32,20.05,11.12,59.92,6.62,39.34,Maize,0.6,Mustard
75.61,48.18,39.73,15.38,70.8,6.55,14.8,Rice,0.43,Wheat
94.03,55.87,23.45,14.65,77.69,6.89,31.13,Rice,0.81,Wheat
29.17,79.55,19.2,25.01,56.39,5.95,50.93,Rice,0.72,MungBean
38.24,77.45,15.69,27.12,57.24,5.79,84.99,Wheat,0.83,MungBean
78.71,44.83,25.05,10.19,73.98,6.24,11.82,Maize,0.57,Wheat
22.87,47.09,72.76,12.0,52.79,7.29,19.54,Millet,0.36,Chickpea
77.02,53.25,53.69,30.31,76.84,7.87,212.51,Wheat,0.38,Sugarcane
91.97,44.88,23.01,34.79,75.24,7.29,242.21,Rice,1.98,Maize
28.41,32.73,88.16,15.69,55.43,7.56,48.13,Millet,0.17,Chickpea
77.74,46.37,38.64,17.05,64.3,7.37,14.56,Rice,0.54,Wheat
87.79,56.3,46.55,32.18,74.3,5.54,235.0,Wheat,0.91,Rice
88.47,43.57,31.13,18.54,71.21,6.49,13.79,Rice,0.54,Wheat
87.3,40.62,49.82,31.25,76.88,6.48,282.98,Wheat,0.52,Rice
78.22,52.6,22.83,33.86,65.84,6.54,259.08,Wheat,0.39,Maize
78.93,49.03,29.59,15.15,72.86,7.48,40.26,Rice,0.38,Wheat
79.4,48.57,46.85,29.02,83.17,6.71,270.83,Wheat,0.85,Sugarcane
86.35,42.94,24.35,34.61,65.71,6.75,260.29,Rice,0.98,Maize
23.89,70.28,18.04,25.93,53.15,5.92,98.9,Wheat,0.48,PigeonPeas
82.41,58.27,49.83,29.56,81.23,6.16,255.06,Rice,4.43,Sugarcane
89.84,50.26,27.45,33.98,78.27,7.4,296.65,Rice,0.78,Maize
37.89,36.95,21.56,12.27,57.02,6.12,10.22,Wheat,0.86,Mustard
82.98,58.79,20.68,34.27,62.8,7.44,218.88,Rice,0.3,Maize
30.31,26.64,23.65,10.01,50.92,6.43,34.26,Maize,0.95,Mustard
20.76,36.94,75.53,12.35,59.38,7.83,32.16,Millet,0.67,Chickpea
76.79,43.28,48.97,34.46,70.6,6.53,283.1,Rice,0.27,Sugarcane
82.09,57.16,29.6,12.65,77.66,6.31,38.34,Rice,0.74,Wheat
79.95,41.59,28.82,34.02,78.52,7.36,265.54,Wheat,0.28,Maize
89.0,48.86,42.06,34.15,75.54,6.75,261.81,Maize,0.93,Rice
27.82,40.59,89.33,17.12,43.37,7.39,32.49,Maize,1.31,Chickpea
29.95,37.22,23.79,10.67,68.59,6.23,35.11,Wheat,0.18,Mustard
22.91,42.69,71.2,10.82,55.08,7.62,36.69,Millet,0.23,Chickpea
70.52,46.03,48.91,29.61,82.8,5.7,255.41,Fallow,0.59,Rice
23.03,43.94,78.52,17.62,43.32,7.29,45.51,Maize,0.85,Chickpea
19.7,42.73,77.57,17.71,43.17,7.68,21.17,Maize,0.45,Chickpea
83.47,45.64,47.75,32.11,80.78,6.64,283.14,Wheat,0.81,Sugarcane
89.36,58.52,33.43,32.06,69.32,6.54,296.1,Rice,0.81,Maize
90.82,40.54,37.59,28.59,66.94,6.93,243.34,Rice,0.91,Maize
90.53,51.78,26.03,31.17,64.58,6.64,227.8,Wheat,0.83,Maize
27.32,39.25,79.49,17.63,58.27,7.71,30.54,Maize,0.17,Chickpea
37.77,24.29,20.95,18.77,50.39,6.03,40.74,Maize,0.17,Mustard
36.41,72.72,22.31,25.7,64.29,6.45,60.61,Wheat,0.26,PigeonPeas
75.69,45.36,51.52,32.87,81.14,6.85,215.41,Maize,7.43,Rice
77.72,59.42,30.06,34.68,65.85,6.37,247.9,Wheat,0.39,Maize
82.7,40.73,36.17,14.5,76.84,7.11,41.82,Rice,0.77,Wheat
77.79,40.02,20.66,32.15,62.13,6.47,258.82,Rice,6.12,Maize
89.89,50.19,54.6,31.52,79.84,6.78,246.43,Wheat,0.68,Sugarcane
92.36,52.85,35.09,14.84,60.23,6.19,17.83,Rice,0.13,Wheat
29.34,44.39,81.86,14.81,49.57,7.43,20.39,Maize,1.47,Chickpea
26.29,77.09,21.62,27.89,55.51,5.86,93.77,Wheat,7.43,PigeonPeas
20.63,62.98,24.06,26.24,57.43,5.91,69.37,Rice,5.94,PigeonPeas
20.35,62.84,15.11,29.31,60.77,5.69,68.64,Wheat,0.4,PigeonPeas
37.61,39.35,20.46,17.36,65.93,6.24,34.11,Wheat,0.3,Mustard
26.99,29.6,24.87,10.87,53.9,6.8,22.83,Maize,0.48,Mustard
28.69,79.29,20.79,28.39,62.96,6.4,53.49,Wheat,0.7,MungBean
39.09,66.9,21.81,27.44,50.29,6.12,73.05,Rice,0.88,PigeonPeas
82.89,52.56,36.69,11.5,64.98,6.67,12.8,Rice,0.59,Wheat
29.97,73.92,17.02,26.31,64.35,5.9,73.19,Wheat,1.13,PigeonPeas
39.51,63.74,21.71,26.11,60.19,5.51,94.61,Rice,0.19,PigeonPeas
18.23,36.84,84.73,13.24,47.62,7.61,17.13,Millet,18.76,Chickpea
34.56,33.54,35.16,11.52,65.11,6.12,19.04,Maize,0.23,Mustard
36.63,71.97,24.51,27.67,53.42,6.15,87.26,Wheat,0.17,MungBean
24.14,40.81,89.77,13.52,40.8,7.25,19.38,Maize,0.59,Chickpea
74.18,58.36,44.05,34.61,74.65,7.41,264.01,Rice,0.65,Sugarcane
75.63,54.32,39.04,10.31,78.42,6.07,48.23,Rice,0.26,Wheat
87.19,45.02,58.6,30.42,70.99,7.82,270.45,Wheat,1.21,Sugarcane
30.55,75.61,16.33,29.61,56.97,5.88,95.16,Wheat,1.0,MungBean
86.9,40.14,48.86,34.82,87.2,7.95,205.6,Rice,1.12,Sugarcane
82.54,42.42,49.76,33.29,76.75,6.22,223.35,Wheat,1.85,Sugarcane
19.64,48.65,83.54,16.84,47.45,7.4,37.52,Millet,0.45,Chickpea
74.01,59.12,41.19,30.49,81.94,7.08,234.92,Wheat,0.38,Sugarcane
86.11,41.86,58.14,31.75,87.6,6.53,229.17,Rice,0.61,Sugarcane
75.78,44.57,59.34,30.73,78.68,7.92,212.06,Rice,1.92,Sugarcane
76.24,53.06,20.67,12.09,73.12,7.03,12.09,Maize,0.52,Wheat
77.02,40.24,46.1,28.06,83.26,6.78,267.6,Maize,0.11,Rice
81.89,49.96,44.03,29.69,84.74,7.79,285.79,Rice,0.75,Sugarcane
88.17,47.67,29.91,13.77,76.03,6.79,15.51,Maize,0.49,Wheat
24.34,64.16,15.02,28.64,62.55,5.7,72.21,Wheat,0.16,PigeonPeas
21.79,38.01,21.45,12.62,62.29,6.37,38.56,Maize,0.13,Mustard
78.11,58.75,34.53,34.71,79.24,6.79,218.33,Rice,0.42,Maize
91.86,52.61,27.37,34.23,65.15,6.23,275.43,Wheat,0.99,Maize
37.84,60.31,17.86,29.62,62.46,6.46,88.21,Wheat,0.78,MungBean
90.93,42.0,35.91,30.98,74.38,7.26,210.64,Rice,0.6,Maize
33.66,73.28,23.65,25.4,53.37,6.45,76.67,Rice,0.36,PigeonPeas
27.81,34.75,77.7,10.15,50.15,7.67,38.82,Maize,0.69,Chickpea
34.37,64.81,15.05,25.26,64.15,6.26,56.74,Wheat,0.69,MungBean
79.45,47.65,60.0,28.31,89.85,6.53,246.54,Maize,0.25,Rice
90.21,55.96,22.72,10.07,61.33,7.18,27.46,Rice,0.55,Wheat
39.14,64.98,21.53,28.92,61.07,5.56,64.85,Wheat,0.62,PigeonPeas
37.43,62.59,21.84,27.44,50.48,6.16,84.94,Rice,0.14,PigeonPeas
29.05,44.8,72.72,15.77,42.79,7.77,16.16,Millet,0.14,Chickpea
39.25,34.42,33.39,18.05,64.79,6.7,28.36,Maize,1.14,Mustard
93.87,51.39,25.49,31.62,66.78,7.28,233.97,Wheat,0.87,Maize
17.0,30.97,75.85,17.28,58.95,7.19,31.39,Maize,1.79,Chickpea
87.34,43.56,21.85,16.94,64.71,6.44,40.78,Maize,1.76,Wheat
33.61,65.06,22.41,26.07,57.92,6.13,50.74,Wheat,0.97,MungBean
82.41,50.31,35.24,14.3,65.42,6.84,30.34,Rice,0.3,Wheat
80.86,54.51,41.13,30.43,87.21,7.42,259.27,Rice,0.32,Sugarcane
74.72,49.75,52.79,29.97,72.98,6.65,270.49,Wheat,0.34,Rice
35.26,72.68,19.73,29.3,68.3,5.93,72.34,Rice,0.92,PigeonPeas
28.87,21.35,22.73,15.55,50.95,6.59,44.04,Wheat,0.42,Mustard
90.87,44.11,22.69,34.65,72.58,6.65,234.65,Rice,0.49,Maize
30.05,65.88,21.05,26.42,53.62,5.72,82.17,Wheat,0.55,MungBean
86.85,56.95,37.74,16.99,69.77,7.23,14.35,Maize,0.16,Wheat
22.2,37.98,83.18,10.82,59.34,7.05,24.02,Maize,1.08,Chickpea
83.33,57.29,35.26,18.34,60.76,6.82,39.69,Rice,0.11,Wheat
29.58,41.56,82.93,12.49,56.05,7.92,24.58,Millet,0.2,Chickpea
22.29,76.73,17.99,29.74,67.48,6.4,93.91,Wheat,0.88,MungBean
86.82,51.52,24.75,30.31,65.66,7.25,273.98,Wheat,0.15,Maize
19.85,34.02,83.23,12.01,52.6,7.22,27.2,Millet,0.2,Chickpea
21.26,72.19,18.86,25.95,53.69,5.99,71.33,Rice,0.58,PigeonPeas
79.73,51.93,58.35,28.28,77.3,7.25,235.0,Wheat,0.49,Sugarcane
21.64,75.48,23.94,26.31,50.81,5.71,89.45,Rice,0.68,PigeonPeas
92.45,50.89,24.36,17.3,78.23,7.47,10.34,Rice,1.68,Wheat
84.95,50.14,30.18,29.08,63.31,7.24,293.54,Wheat,1.49,Maize
90.57,50.73,20.7,29.83,69.88,7.1,248.77,Wheat,0.48,Maize
92.63,58.92,24.18,30.6,66.15,6.39,226.54,Wheat,13.31,Maize
89.82,42.03,52.71,29.57,87.93,6.36,241.85,Wheat,1.47,Sugarcane
80.34,42.91,23.73,13.52,64.51,7.2,20.39,Rice,0.16,Wheat
76.77,58.97,21.12,28.08,74.43,7.03,264.82,Wheat,0.78,Maize
32.91,32.0,33.88,13.12,65.09,6.2,41.97,Maize,0.94,Mustard
27.22,66.46,18.06,27.3,51.49,5.97,64.73,Wheat,0.21,MungBean
32.59,74.43,17.07,29.29,63.63,6.49,81.9,Wheat,0.31,MungBean
38.84,73.38,15.54,29.72,59.37,5.62,67.39,Rice,0.18,MungBean
25.3,31.97,86.27,13.53,47.8,7.94,46.93,Millet,0.13,Chickpea
25.44,34.79,88.15,17.12,52.84,7.11,28.15,Millet,0.38,Chickpea
75.49,49.97,30.9,17.48,64.72,7.3,15.93,Rice,0.86,Wheat
18.55,30.54,76.17,17.99,49.16,7.77,21.89,Millet,0.65,Chickpea
20.58,41.29,85.32,17.18,57.99,7.74,44.21,Maize,0.8,Chickpea
28.78,60.98,17.33,25.78,50.54,6.04,87.62,Wheat,0.18,PigeonPeas
76.31,51.87,34.15,19.58,60.28,6.73,12.55,Maize,0.52,Wheat
37.66,77.11,19.6,26.13,58.94,5.87,75.53,Wheat,0.28,MungBean
88.26,41.49,35.35,34.23,77.21,7.46,220.16,Wheat,0.7,Maize
31.18,70.89,22.06,26.67,51.02,6.42,77.35,Wheat,0.62,PigeonPeas
89.47,56.57,24.6,13.77,62.27,6.19,19.17,Rice,0.17,Wheat
29.16,77.83,23.24,27.75,67.38,5.61,94.45,Rice,0.31,PigeonPeas
29.97,72.93,18.71,26.7,67.78,5.89,53.3,Wheat,1.91,MungBean
81.91,50.9,56.43,32.49,80.57,6.71,262.98,Maize,0.93,Rice
93.56,55.04,26.2,28.01,73.93,6.14,246.26,Wheat,0.5,Maize
